Alk	supraBasal-lgPCO2	glOutlets-lgPCO2	streams-lgPCO2	lakes-lgPCO2	sandurPW-lgPCO2	morainePW-lgPCO2
color	LimeGreen	Orange	Gold	Blue	CornflowerBlue	Black
symbol	TriangleDown	Diamond	Star	Triangle	Circle	Square
symbol_size	9	10	6	9	9	8
3.3	-3.13					
						
375.0	-3.49					
59.7	-3.27					
						
34.8	-3.4					
39.7	-2.48					
499.0	-3.0					
55.5	-3.08					
3.56	-2.97					
45.4	-3.15					
45.2	-3.14					
576.0	-3.47					
112.0	-3.45					
168.99	-3.49					
565.01	-3.26					
						
						
						
						
22.99	-3.26					
38.9	-3.25					
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
13.1		-2.59				
12.2		-2.96				
62.1		-4.26				
161.0		-3.1				
156.0		-3.11				
161.0		-3.1				
144.0		-3.15				
138.0		-3.67				
150.0		-3.13				
139.0		-3.16				
92.1		-2.94				
87.0		-2.96				
428.0		-3.43				
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
34.42		-2.9				
85.0		-3.4				
70.0		-3.39				
66.0		-3.29				
23.0		-3.14				
						
46.0		-3.07				
66.0		-3.41				
90.0		-2.96				
174.0		-3.11				
109.0		-3.01				
117.0		-3.21				
45.0		-3.04				
65.0		-2.88				
41.0		-3.11				
61.0		-3.05				
57.0		-3.24				
36.0		-3.19				
85.0		-3.4				
76.0		-3.29				
						
294.93			-3.06			
301.49			-2.91			
78.67			-2.59			
72.99			-4.93			
97.97			-4.22			
118.98			-3.33			
144.98			-3.33			
150.98			-3.4			
98.98			-3.5			
266.0			-3.05			
39.99			-2.85			
49.1			-2.79			
52.8			-2.4			
55.5			-3.0			
69.8			-2.9			
43.77			-3.0			
58.09			-2.94			
50.3			-2.75			
54.1			-2.81			
96.69			-2.86			
79.19			-3.01			
110.97			-2.98			
171.98			-3.33			
134.99			-3.2			
160.98			-3.35			
183.95			-3.23			
139.99			-3.29			
143.99			-3.38			
159.96			-3.15			
154.99			-3.23			
111.96			-3.12			
119.99			-3.41			
226.96			-2.77			
179.95			-3.05			
149.98			-3.12			
167.98			-3.16			
144.96			-3.24			
154.95			-3.2			
141.98			-3.34			
195.96			-3.14			
167.96			-3.22			
212.37			-5.37			
185.27			-5.45			
166.86			-4.97			
158.08			-5.02			
122.47			-4.49			
119.08			-4.73			
99.28			-4.34			
107.98			-4.71			
108.28			-4.27			
128.38			-4.44			
114.53			-3.94			
129.43			-4.53			
117.28			-4.53			
113.47			-4.6			
110.18			-4.2			
101.38			-4.76			
105.48			-4.37			
113.18			-4.48			
121.89			-4.45			
112.39			-4.33			
109.49			-4.21			
106.58			-4.23			
101.38			-4.3			
99.78			-4.32			
105.09			-4.33			
116.38			-4.28			
108.38			-4.41			
112.08			-4.52			
118.47			-4.49			
111.47			-4.53			
92.49			-4.32			
109.08			-4.39			
109.08			-4.39			
111.47			-4.53			
92.49			-4.32			
111.89			-4.24			
111.18			-4.46			
104.58			-4.55			
121.48			-3.97			
110.78			-4.33			
107.38			-4.27			
103.57			-4.33			
100.48			-4.13			
102.46			-4.2			
98.19			-3.89			
109.08			-4.37			
100.18			-4.33			
108.78			-4.41			
105.39			-4.3			
111.48			-4.45			
99.88			-4.2			
107.56			-4.5			
101.48			-4.51			
110.68			-4.36			
112.48			-4.49			
117.68			-4.78			
108.68			-4.33			
113.89			-4.55			
126.48			-4.56			
128.78			-4.6			
131.67			-4.28			
124.38			-4.6			
126.18			-4.5			
114.98			-4.45			
120.77			-4.41			
121.57			-4.5			
126.59			-4.64			
122.38			-4.28			
122.28			-4.46			
116.58			-4.56			
124.85			-4.6			
114.68			-4.65			
122.08			-4.58			
108.07			-3.98			
111.68			-4.28			
99.68			-4.2			
55.89			-4.37			
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
66.66			-3.62			
75.53			-3.64			
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
14.29			-3.66			
61.89			-3.55			
53.68			-3.65			
65.58			-3.62			
68.78			-3.56			
71.48			-3.64			
271.67			-4.89			
199.92			-3.89			
256.33			-4.25			
286.11			-3.75			
203.92			-3.72			
260.61			-3.74			
222.35			-3.76			
145.76			-3.78			
143.08			-4.16			
87.35			-3.99			
148.19			-4.55			
159.9			-5.33			
119.07			-4.56			
						
124.21			-5.5			
99.51			-4.9			
105.83			-5.16			
128.45			-5.83			
146.81			-5.88			
136.59			-5.77			
229.4				-3.14		
431.0				-2.6		
449.04				-2.6		
249.05				-3.26		
453.93				-2.53		
104.85				-3.46		
468.69				-2.77		
681.78				-2.87		
322.79				-2.81		
729.31				-3.0		
683.47				-2.79		
45.89				-3.01		
398.23				-2.98		
357.25				-2.7		
114.69				-3.33		
68.81				-3.59		
64.28				-3.56		
						
						
						
						
405.35					-3.9	
602.57					-3.93	
551.21					-3.85	
715.89					-3.34	
468.16					-3.67	
480.17					-3.53	
573.86					-3.64	
683.06					-3.37	
640.61					-3.26	
630.23					-3.38	
638.86					-3.57	
191.2					-3.78	
466.38					-3.21	
782.54					-2.77	
799.49					-2.53	
397.56					-3.37	
587.24					-2.97	
725.81					-2.8	
633.16					-2.31	
588.81					-2.24	
505.18					-2.36	
240.55						-2.37
732.35						-1.81
2805.5						-1.69
389.81						-1.75
489.94						-2.32
1155.32						-2.34
563.41						-2.43
894.7						-2.55
510.97						-2.35
317.56						-2.4
178.42						-3.51
