SO4	supraBasal-Alk	glOutlets-Alk	streams-Alk	lakes-Alk	sandurPW-Alk	morainePW-Alk
color	LimeGreen	Orange	Gold	Blue	CornflowerBlue	Black
symbol	TriangleDown	Diamond	Star	Triangle	Circle	Square
symbol_size	9	10	6	9	9	8
0.9	3.3					
						
14.58	375.0					
4.16	59.7					
4.16						
	34.8					
4.16	39.7					
132.2	499.0					
14.94	55.5					
3.26	3.56					
14.02	45.4					
15.88	45.2					
69.6	576.0					
16.0	112.0					
16.66	168.99					
135.2	565.01					
						
2.28						
						
						
13.94	22.99					
12.44	38.9					
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
31.72						
						
						
127.0						
25.4						
24.15						
2.08		13.1				
		12.2				
12.36		62.1				
83.99		161.0				
84.39		156.0				
82.79		161.0				
74.8		144.0				
79.19		138.0				
82.99		150.0				
69.2		139.0				
3.96		92.1				
3.54		87.0				
123.0		428.0				
39.4						
42.4						
43.4						
36.6						
31.2						
31.8						
35.2						
38.8						
47.6						
47.6						
31.2						
28.2						
30.0						
19.0						
29.2						
35.4						
43.0						
40.0						
37.2						
32.4						
27.4						
25.0						
29.2						
30.0						
34.8						
41.0						
38.2						
32.6						
28.4						
26.6						
34.4						
33.8						
41.0						
43.6						
41.4						
34.0						
28.8						
38.4						
30.8						
31.2						
34.0						
35.2						
32.6						
28.2						
26.6						
9.99		34.42				
		85.0				
		70.0				
		66.0				
		23.0				
						
		46.0				
		66.0				
46.0		90.0				
74.0		174.0				
32.0		109.0				
32.0		117.0				
20.0		45.0				
40.0		65.0				
		41.0				
		61.0				
		57.0				
		36.0				
		85.0				
		76.0				
62.46						
316.83			294.93			
291.93			301.49			
28.73			78.67			
16.38			72.99			
26.18			97.97			
38.55			118.98			
33.07			144.98			
38.17			150.98			
35.47			98.98			
21.4			266.0			
13.36			39.99			
13.63			49.1			
19.63			52.8			
13.13			55.5			
17.8			69.8			
11.08			43.77			
11.19			58.09			
10.22			50.3			
11.38			54.1			
22.64			96.69			
16.62			79.19			
25.85			110.97			
52.04			171.98			
36.11			134.99			
47.87			160.98			
47.03			183.95			
38.52			139.99			
31.57			143.99			
41.02			159.96			
36.14			154.99			
36.36			111.96			
35.73			119.99			
41.04			226.96			
47.88			179.95			
48.12			149.98			
53.46			167.98			
59.54			144.96			
47.14			154.95			
41.28			141.98			
40.95			195.96			
42.8			167.96			
65.34			212.37			
58.31			185.27			
45.88			166.86			
42.71			158.08			
29.83			122.47			
30.26			119.08			
21.97			99.28			
24.69			107.98			
23.18			108.28			
29.9			128.38			
26.29			114.53			
33.67			129.43			
27.61			117.28			
29.44			113.47			
22.65			110.18			
25.01			101.38			
23.04			105.48			
27.67			113.18			
27.52			121.89			
26.33			112.39			
25.72			109.49			
24.68			106.58			
23.45			101.38			
23.25			99.78			
23.91			105.09			
24.74			116.38			
25.4			108.38			
26.26			112.08			
26.82			118.47			
29.79			111.47			
24.11			92.49			
29.39			109.08			
29.39			109.08			
29.79			111.47			
24.11			92.49			
26.7			111.89			
31.26			111.18			
30.74			104.58			
27.1			121.48			
31.1			110.78			
27.13			107.38			
29.34			103.57			
25.87			100.48			
26.66			102.46			
25.3			98.19			
33.77			109.08			
35.05			100.18			
35.86			108.78			
32.5			105.39			
33.53			111.48			
30.34			99.88			
30.94			107.56			
31.46			101.48			
32.29			110.68			
32.09			112.48			
33.28			117.68			
31.35			108.68			
32.91			113.89			
35.01			126.48			
36.82			128.78			
37.8			131.67			
36.45			124.38			
35.27			126.18			
34.59			114.98			
32.72			120.77			
32.42			121.57			
33.51			126.59			
33.69			122.38			
34.49			122.28			
36.73			116.58			
36.95			124.85			
34.35			114.68			
34.97			122.08			
31.55			108.07			
32.98			111.68			
30.58			99.68			
8.56			55.89			
2.09						
						
						
						
						
						
						
						
148.47						
161.61						
162.47						
178.88						
155.92						
155.06						
107.99						
105.99						
77.99						
87.99						
79.99						
72.0						
						
75.99						
89.99						
91.99						
48.89						
66.89						
49.62						
80.79						
76.79						
52.79						
66.06						
68.17						
60.07						
48.79						
55.1						
52.58						
50.69						
60.69						
72.06						
80.06						
53.72						
56.0						
57.72						
71.62						
59.0						
70.79						
59.2						
42.69						
38.58						
42.69						
50.17						
70.79						
59.0						
52.79						
49.0						
67.0						
81.72						
77.2						
80.79						
77.41						
79.31						
75.31						
85.3						
						
97.72						
72.17						
41.51						
95.82						
122.27						
135.3						
136.34						
151.61						
152.37						
147.4						
156.89						
50.0						
56.0						
58.0						
75.99						
64.0						
66.0						
81.99						
60.0						
62.0						
64.0						
66.0						
83.99						
68.0						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
28.44			66.66			
27.33			75.53			
						
						
22.0						
						
20.0						
22.0						
42.0						
40.0						
36.0						
						
						
						
						
						
						
34.0						
36.0						
44.0						
						
						
						
						
						
						
34.0						
40.0						
						
						
20.0						
15.8						
15.0						
18.0						
15.0						
18.0						
22.0						
22.0						
20.0						
						
						
						
11.4						
20.0						
24.0						
30.0						
26.0						
44.0						
42.0						
38.0						
54.24						
13.25			14.29			
19.7			61.89			
20.82			53.68			
28.44			65.58			
30.22			68.78			
27.33			71.48			
226.37			271.67			
116.56			199.92			
71.36			256.33			
115.58			286.11			
87.32			203.92			
158.75			260.61			
120.17			222.35			
57.76			145.76			
46.41			143.08			
22.78			87.35			
44.46			148.19			
37.01			159.9			
26.13			119.07			
23.34						
30.71			124.21			
24.65			99.51			
37.96			105.83			
45.49			128.45			
53.9			146.81			
46.92			136.59			
889.78				229.4		
843.93				431.0		
729.78				449.04		
1382.71				249.05		
1584.29				453.93		
217.65				104.85		
858.36				468.69		
559.17				681.78		
1484.17				322.79		
646.13				729.31		
605.91				683.47		
72.87				45.89		
444.61				398.23		
251.2				357.25		
850.79				114.69		
29.99				68.81		
3.81				64.28		
65.1						
26.0						
17.0						
14.6						
398.36					405.35	
212.91					602.57	
292.42					551.21	
580.67					715.89	
346.22					468.16	
377.62					480.17	
458.08					573.86	
668.11					683.06	
974.4					640.61	
677.22					630.23	
550.7					638.86	
147.56					191.2	
469.88					466.38	
1797.75					782.54	
1908.24					799.49	
661.24					397.56	
1226.25					587.24	
1826.42					725.81	
1960.42					633.16	
1351.71					588.81	
1407.02					505.18	
1766.47						240.55
625.78						732.35
1512.09						2805.5
518.33						389.81
2311.37						489.94
598.28						1155.32
1084.84						563.41
1218.13						894.7
415.36						510.97
202.97						317.56
77.35						178.42
