SO4	supraBasal-Ca	glOutlets-Ca	streams-Ca	lakes-Ca	sandurPW-Ca	morainePW-Ca
color	LimeGreen	Orange	Gold	Blue	CornflowerBlue	Black
symbol	TriangleDown	Diamond	Star	Triangle	Circle	Square
symbol_size	9	10	6	9	9	8
0.45	0.44					
	42.2					
7.29	131.0					
2.08	17.5					
2.08	21.9					
	10.1					
2.08	10.2					
66.1	208.0					
7.47	16.6					
1.63	1.11					
7.01	21.3					
7.94	20.7					
34.8	168.0					
8.0	17.6					
8.33	18.9					
67.6	168.0					
	0.56					
1.14	0.28					
	0.53					
	1.88					
6.97	11.07					
6.22	16.48					
						
						
						
						
						
						
						
	7.5					
	7.5					
	7.5					
	5.0					
	20.0					
	10.0					
						
						
						
						
						
						
						
						
						
						
						
						
						
						
15.86	19.59					
	30.0					
	7.5					
63.5		87.08				
12.7		33.19				
12.08		32.94				
1.04		2.93				
		2.88				
6.18		18.2				
42.0		73.5				
42.2		71.7				
41.4		72.3				
37.4		65.7				
39.6		69.1				
41.5		72.4				
34.6		63.0				
1.98		10.8				
1.77		9.75				
61.5		86.8				
19.7		63.1				
21.2		66.0				
21.7		61.9				
18.3		56.3				
15.6		50.3				
15.9		55.1				
17.6		56.0				
19.4		59.7				
23.8		77.1				
23.8		61.8				
15.6		31.9				
14.1		36.0				
15.0		38.7				
9.5		51.2				
14.6		52.5				
17.7		58.2				
21.5		58.3				
20.0		50.3				
18.6		56.0				
16.2		48.9				
13.7		45.9				
12.5		44.9				
14.6		58.1				
15.0		50.3				
17.4		56.1				
20.5		59.2				
19.1		52.0				
16.3		51.3				
14.2		45.0				
13.3		42.7				
17.2		64.6				
16.9		55.7				
20.5		54.2				
21.8		55.0				
20.7		51.9				
17.0		48.2				
14.4		42.1				
19.2		42.1				
15.4		48.7				
15.6		45.8				
17.0		47.6				
17.6		46.9				
16.3		47.5				
14.1		44.4				
13.3		40.9				
5.0		20.26				
		25.0				
		20.0				
		20.0				
		10.0				
		12.0				
		17.0				
		20.0				
23.0		50.0				
37.0		80.0				
16.0		40.0				
16.0		45.0				
10.0		20.0				
20.0		27.0				
		15.0				
		20.0				
		17.0				
		12.0				
		27.0				
		25.0				
31.23			67.62			
158.42			218.51			
145.97			227.51			
14.37			57.39			
8.19			24.76			
13.09			32.79			
19.28			40.72			
16.53			39.1			
19.09			42.32			
17.73			40.54			
10.7			31.1			
6.68			16.58			
6.82			21.59			
9.81			26.19			
6.56			21.89			
8.9			27.19			
5.54			24.09			
5.6			24.08			
5.11			20.19			
5.69			20.29			
11.32			43.37			
8.31			34.38			
12.93			44.77			
26.02			57.74			
18.05			45.35			
23.93			57.64			
23.51			64.39			
19.26			47.55			
15.79			44.76			
20.51			57.72			
18.07			49.45			
18.18			49.55			
17.86			44.05			
20.52			59.33			
23.94			62.9			
24.06			54.71			
26.73			58.3			
29.77			59.45			
23.57			59.81			
20.64			53.14			
20.48			55.01			
21.4			53.62			
32.67			67.58			
29.16			55.88			
22.94			46.53			
21.36			42.51			
14.92			32.06			
15.13			33.9			
10.99			26.52			
12.35			29.71			
11.59			27.42			
14.95			31.81			
13.15			29.69			
16.83			35.02			
13.8			28.53			
14.72			31.4			
11.32			26.44			
12.5			28.93			
11.52			28.33			
13.83			30.84			
13.76			31.55			
13.16			29.95			
12.86			30.15			
12.34			31.14			
11.72			30.14			
11.62			29.84			
11.95			31.05			
12.37			33.72			
12.7			36.03			
13.13			33.8			
13.41			34.66			
14.89			38.69			
12.05			29.15			
14.7			32.43			
14.7			32.43			
14.89			38.69			
12.05			29.15			
13.35			30.15			
15.63			32.84			
15.37			36.12			
13.55			32.01			
15.55			34.31			
13.57			31.72			
14.67			33.28			
12.93			30.34			
13.33			32.03			
12.65			29.55			
16.89			35.62			
17.52			35.9			
17.93			37.54			
16.25			34.55			
16.77			35.92			
15.17			33.42			
15.47			33.44			
15.73			35.0			
16.15			35.81			
16.04			35.94			
16.64			36.21			
15.68			34.12			
16.45			38.95			
17.5			39.63			
18.41			40.73			
18.9			42.39			
18.22			41.2			
17.63			39.34			
17.3			39.03			
16.36			38.58			
16.21			38.09			
16.75			39.95			
16.84			41.54			
17.24			41.34			
18.37			44.42			
18.48			39.91			
17.18			36.42			
17.49			38.72			
15.77			34.68			
16.49			34.63			
15.29			20.72			
4.28			17.86			
1.04			4.03			
			77.85			
			82.09			
			97.81			
			75.6			
			42.42			
			76.35			
			67.62			
74.24			100.86			
80.81			118.57			
81.24			112.86			
89.44			118.94			
77.96			128.63			
77.53			113.34			
54.0			82.5			
53.0			77.5			
39.0			67.5			
44.0			70.5			
40.0			63.5			
36.0			71.5			
			64.5			
38.0			65.0			
45.0			68.5			
46.0			68.0			
24.45			25.44			
33.45			32.44			
24.81			31.07			
40.39			37.42			
38.39			34.42			
26.39			32.42			
33.03			35.29			
34.08			33.3			
30.03			31.29			
24.4			29.92			
27.55			30.47			
26.29			30.88			
25.34			28.4			
30.34			29.4			
36.03			34.29			
40.03			40.79			
26.86			29.09			
28.0			27.5			
28.86			38.09			
35.81			34.07			
29.5			32.96			
35.39			36.92			
29.6			36.49			
21.34			28.9			
19.29			28.38			
21.34			33.4			
25.08			35.3			
35.39			37.42			
29.5			37.96			
26.39			35.92			
24.5			36.96			
33.5			39.46			
40.86			42.09			
38.6			41.49			
40.39			44.92			
38.7			42.53			
39.65			45.01			
37.65			42.01			
42.65			44.01			
			41.0			
48.86			51.59			
36.08			41.8			
20.76			33.05			
47.91			53.11			
61.13			62.82			
67.65			69.01			
68.17			71.2			
75.81			73.07			
76.18			74.84			
73.7			76.53			
78.44			80.44			
25.0			38.5			
28.0			43.5			
29.0			42.5			
38.0			48.0			
32.0			44.0			
33.0			45.0			
41.0			47.5			
30.0			43.0			
31.0			44.5			
32.0			43.0			
33.0			46.5			
42.0			53.0			
34.0			46.0			
			173.01			
			100.0			
			102.01			
			35.0			
			105.01			
			93.0			
			99.0			
						
			87.0			
			70.0			
			66.0			
			48.0			
			50.0			
			48.0			
			43.0			
			54.0			
			38.0			
			43.0			
			36.0			
			36.0			
			41.0			
			31.0			
			24.0			
			30.0			
			20.0			
			24.0			
			41.0			
			34.0			
			54.0			
			42.0			
			50.0			
			46.0			
			11.0			
			34.0			
			41.0			
			48.0			
			43.0			
			26.0			
			27.0			
14.22			35.52			
13.66			37.36			
			22.0			
			22.0			
11.0			32.0			
			30.0			
10.0			30.0			
11.0			32.0			
21.0			45.0			
20.0			42.0			
18.0			45.0			
			10.0			
			10.0			
			15.0			
			20.0			
			20.0			
			20.0			
17.0			52.0			
18.0			60.0			
22.0			55.0			
			15.0			
			17.0			
			20.0			
			20.0			
			20.0			
			30.0			
17.0			45.0			
20.0			47.0			
			20.0			
			22.0			
10.0			35.0			
7.9			30.0			
7.5			30.0			
9.0			30.0			
7.5			30.0			
9.0			27.0			
11.0			32.0			
11.0			35.0			
10.0			32.0			
			15.0			
			15.0			
			20.0			
5.7			20.0			
10.0			45.0			
12.0			42.0			
15.0			37.0			
13.0			35.0			
22.0			50.0			
21.0			52.0			
19.0			50.0			
27.12			59.68			
6.62			15.7			
9.85			33.85			
10.41			29.71			
14.22			35.52			
15.11			37.31			
13.66			37.36			
113.18			174.05			
58.28			107.13			
35.68			62.4			
57.79			125.64			
43.66			91.69			
79.37			130.94			
60.08			109.68			
28.88			61.3			
23.2			51.03			
11.39			28.82			
22.23			43.74			
18.51			41.48			
13.07			32.55			
11.67			30.1			
15.35			37.64			
12.33			32.68			
18.98			36.53			
22.74			44.63			
26.95			53.26			
23.46			47.51			
444.89				403.98		
421.96				481.33		
364.89				433.98		
691.35				643.44		
792.15				770.64		
108.82				123.08		
429.18				481.3		
279.58				471.43		
742.09				735.66		
323.06				541.22		
302.96				494.07		
36.43				40.42		
222.3				329.19		
125.6				225.18		
425.4				421.54		
15.0				34.32		
1.9				16.13		
32.55				86.47		
13.0				35.0		
8.5				32.0		
7.3				22.0		
199.18					314.4	
106.46					262.64	
146.21					335.78	
290.33					546.24	
173.11					352.76	
188.81					382.41	
229.04					449.75	
334.05					607.24	
487.2					711.77	
338.61					583.37	
275.35					522.34	
73.78					120.05	
234.94					306.49	
898.87					1049.28	
954.12					1122.3	
330.62					412.83	
613.12					726.8	
913.21					1042.34	
980.21					916.43	
675.86					489.48	
703.51					504.18	
883.24						829.2
312.89						457.82
756.05						1374.95
259.17						325.71
1155.69						1092.27
299.14						607.86
542.42						649.39
609.06						735.01
207.68						245.32
101.49						128.53
38.67						84.36
